symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2023-07-18 00:00:00+00:00,359.49,366.78,342.17,345.83,64872705,356.7154712741,363.9492073601,339.5291463068,343.1608985805,64872705,0.0,1.0
MSFT,2023-07-19 00:00:00+00:00,355.08,362.46,352.435,361.75,39732901,352.3395074689,359.6625489388,349.7149214678,358.9580286889,39732901,0.0,1.0
MSFT,2023-07-20 00:00:00+00:00,346.87,357.97,345.37,353.57,33778395,344.1928719042,355.2072025702,342.7044488412,350.8411615855,33778395,0.0,1.0
MSFT,2023-07-21 00:00:00+00:00,343.77,350.3,339.83,349.15,69405382,341.116797574,347.5963993082,337.2072063286,346.4552749599,69405382,0.0,1.0
MSFT,2023-07-24 00:00:00+00:00,345.11,346.92,342.31,345.85,26719207,342.4464555103,344.2424860063,339.6680657927,343.1807442213,26719207,0.0,1.0
MSFT,2023-07-25 00:00:00+00:00,350.98,351.89,345.07,347.11,41637739,348.2711510967,349.174127755,342.4067642286,344.4310195943,41637739,0.0,1.0
MSFT,2023-07-26 00:00:00+00:00,337.77,344.67,333.11,341.44,58383702,335.1631053221,342.0098514118,330.5390710064,338.8047804162,58383702,0.0,1.0
MSFT,2023-07-27 00:00:00+00:00,330.72,341.33,329.05,340.48,39635262,328.1675169261,338.6956293916,326.510405916,337.8521896559,39635262,0.0,1.0
MSFT,2023-07-28 00:00:00+00:00,338.37,340.01,333.17,333.67,28484868,335.7584745473,337.3858170961,330.5986079289,331.0947489499,28484868,0.0,1.0
MSFT,2023-07-31 00:00:00+00:00,335.92,337.695,333.36,336.92,25446022,333.3273835444,335.0886841689,330.7871415169,334.3196655864,25446022,0.0,1.0
MSFT,2023-08-01 00:00:00+00:00,336.34,338.54,333.7,335.19,18381253,333.744142002,335.9271624944,331.1245174112,332.6030176538,18381253,0.0,1.0
MSFT,2023-08-02 00:00:00+00:00,327.5,333.63,326.3551,333.63,27761257,324.9723687509,331.0550576683,323.836305041,331.0550576683,27761257,0.0,1.0
MSFT,2023-08-03 00:00:00+00:00,326.66,329.88,325.95,326.0,18360352,324.1388518356,327.3340000108,323.4343315858,323.4839456879,18360352,0.0,1.0
MSFT,2023-08-04 00:00:00+00:00,327.78,335.14,327.24,331.88,23741484,325.2502077226,332.5534035517,324.71437542,329.3185640948,23741484,0.0,1.0
MSFT,2023-08-07 00:00:00+00:00,330.11,331.11,327.52,328.37,17741526,327.5622248805,328.5545069225,324.9922143917,325.8356541274,17741526,0.0,1.0
MSFT,2023-08-08 00:00:00+00:00,326.05,328.75,323.0,326.96,22327574,323.53355979,326.2127213034,320.5070995619,324.4365364482,22327574,0.0,1.0
MSFT,2023-08-09 00:00:00+00:00,322.23,327.11,321.0499,326.47,22373268,319.7430423896,324.5853787545,318.5720503519,323.9503182476,22373268,0.0,1.0
MSFT,2023-08-10 00:00:00+00:00,322.93,328.26,321.18,326.015,20113725,320.437639819,325.7265031028,318.7011462455,323.4988299185,20113725,0.0,1.0
MSFT,2023-08-11 00:00:00+00:00,321.01,322.41,319.21,320.26,24355491,318.5324582984,319.9216531572,316.7463506228,317.7882467669,24355491,0.0,1.0
MSFT,2023-08-14 00:00:00+00:00,324.04,324.06,320.08,321.39,18836139,321.5390728856,321.5589185264,317.6096359993,318.9095254743,18836139,0.0,1.0
MSFT,2023-08-15 00:00:00+00:00,321.86,325.09,320.9034,323.0,16966285,319.3758980341,322.5809690297,318.4266810327,320.5070995619,16966285,0.0,1.0
MSFT,2023-08-16 00:00:00+00:00,320.4,324.42,319.8035,320.8,20698864,318.6019180413,322.599357837,318.008765594,318.9996732449,20698864,0.68,1.0
MSFT,2023-08-17 00:00:00+00:00,316.88,321.87,316.21,320.54,21257161,315.1016722501,320.0636684144,314.4354322842,318.7411323626,21257161,0.0,1.0
MSFT,2023-08-18 00:00:00+00:00,316.48,318.38,311.5508,314.49,24755012,314.7039170466,316.5932542634,309.8023796732,312.7250849089,24755012,0.0,1.0
MSFT,2023-08-21 00:00:00+00:00,321.88,322.77,317.04,317.93,24039956,320.0736122944,320.9586176223,315.2607743315,316.1457796594,24039956,0.0,1.0
MSFT,2023-08-22 00:00:00+00:00,322.46,326.075,321.46,325.5,16102024,320.6503573396,324.2450699916,319.6559693307,323.6732968865,16102024,0.0,1.0
MSFT,2023-08-23 00:00:00+00:00,327.0,329.2,323.46,323.82,21166382,325.1648788998,327.3525325194,321.6447453485,322.0027250316,21166382,0.0,1.0
MSFT,2023-08-24 00:00:00+00:00,319.97,332.98,319.96,332.85,23281434,318.1743311975,331.1113191929,318.1643873174,330.9820487517,23281434,0.0,1.0
MSFT,2023-08-25 00:00:00+00:00,322.98,325.36,318.8001,321.47,21684104,321.1674391042,323.5340825653,317.0109966659,319.6659132108,21684104,0.0,1.0
MSFT,2023-08-28 00:00:00+00:00,323.7,326.15,321.722,325.66,14808482,321.8833984706,324.3196490923,319.916498989,323.832398968,14808482,0.0,1.0
MSFT,2023-08-29 00:00:00+00:00,328.41,328.9835,321.88,321.88,19284590,326.5669659924,327.1372475154,320.0736122944,320.0736122944,19284590,0.0,1.0
MSFT,2023-08-30 00:00:00+00:00,328.79,329.81,326.445,328.67,15222110,326.9448334357,327.9591092048,324.6129935549,326.8255068747,15222110,0.0,1.0
MSFT,2023-08-31 00:00:00+00:00,327.76,330.9099,326.78,329.2,26410954,325.9206137866,329.0528365757,324.9461135379,327.3525325194,26410954,0.0,1.0
MSFT,2023-09-01 00:00:00+00:00,328.66,331.99,326.78,331.31,14942024,326.8155629946,330.1268750641,324.9461135379,329.4506912181,14942024,0.0,1.0
MSFT,2023-09-05 00:00:00+00:00,333.55,334.85,328.66,329.0,18553859,331.6781203579,332.9708247695,326.8155629946,327.1536549176,18553859,0.0,1.0
MSFT,2023-09-06 00:00:00+00:00,332.88,334.46,330.18,333.38,17535773,331.011880392,332.583013446,328.327032768,331.5090743964,17535773,0.0,1.0
MSFT,2023-09-07 00:00:00+00:00,329.91,333.08,329.03,331.29,18380995,328.0585480057,331.2107579938,327.1834865579,329.4308034579,18380995,0.0,1.0
MSFT,2023-09-08 00:00:00+00:00,334.27,336.16,329.46,330.09,19548165,332.3940797243,334.2734730611,327.6110734017,328.2375378472,19548165,0.0,1.0
MSFT,2023-09-11 00:00:00+00:00,337.94,338.42,335.43,337.24,16583324,336.0434837169,336.5207899611,333.5475698146,335.3474121107,16583324,0.0,1.0
MSFT,2023-09-12 00:00:00+00:00,331.77,336.79,331.48,335.815,17565482,329.9081097021,334.8999375067,329.6197371796,333.930409198,17565482,0.0,1.0
MSFT,2023-09-13 00:00:00+00:00,336.06,336.85,331.17,331.31,16544412,334.1740342602,334.9596007872,329.3114768968,329.4506912181,16544412,0.0,1.0
MSFT,2023-09-14 00:00:00+00:00,338.7,340.86,336.57,339.148,20267048,336.7992186036,338.9470967028,334.6811721447,337.2447044316,20267048,0.0,1.0
MSFT,2023-09-15 00:00:00+00:00,330.22,337.3975,329.65,336.92,37679792,328.3668082884,335.5040282221,327.8000071233,335.0292079478,37679792,0.0,1.0
MSFT,2023-09-18 00:00:00+00:00,329.06,330.4,326.36,327.8,16834208,327.2133181981,328.54579813,324.5284705742,325.9603893069,16834208,0.0,1.0
MSFT,2023-09-19 00:00:00+00:00,328.65,329.39,324.51,326.17,16514487,326.8056191145,327.541466241,322.6888527578,324.3395368525,16514487,0.0,1.0
MSFT,2023-09-20 00:00:00+00:00,320.77,329.59,320.51,329.51,21436525,318.9698416046,327.7403438428,318.7113007223,327.6607928021,21436525,0.0,1.0
MSFT,2023-09-21 00:00:00+00:00,319.53,325.3499,315.0,319.26,35560362,317.7368004736,323.5240392464,313.2322227934,317.4683157112,35560362,0.0,1.0
MSFT,2023-09-22 00:00:00+00:00,317.01,321.45,316.15,321.32,21447887,315.2309426913,319.6460254506,314.3757690036,319.5167550095,21447887,0.0,1.0
MSFT,2023-09-25 00:00:00+00:00,317.54,317.67,315.0,316.59,17835964,315.757968336,315.8872387771,313.2322227934,314.8132997275,17835964,0.0,1.0
MSFT,2023-09-26 00:00:00+00:00,312.14,315.88,310.02,315.13,26297573,310.3882730881,314.1072842412,308.2801705093,313.3614932346,26297573,0.0,1.0
MSFT,2023-09-27 00:00:00+00:00,312.79,314.299,309.69,312.3,19410082,311.0346252938,312.5351567992,307.9520224663,310.5473751695,19410082,0.0,1.0
MSFT,2023-09-28 00:00:00+00:00,313.64,315.48,309.45,310.99,19683564,311.8798551014,313.7095290377,307.7133693442,309.2447268779,19683564,0.0,1.0
MSFT,2023-09-29 00:00:00+00:00,315.75,319.47,314.98,317.75,24147298,313.9780138001,317.6771371931,313.2123350333,315.9667898178,24147298,0.0,1.0
MSFT,2023-10-02 00:00:00+00:00,321.8,321.888,315.18,316.28,20570006,319.9940612537,320.0815673985,313.411212635,314.5050394448,20570006,0.0,1.0
MSFT,2023-10-03 00:00:00+00:00,313.39,321.39,311.215,320.83,21033492,311.6312580992,319.5863621701,309.4684641799,319.0295048851,21033492,0.0,1.0
MSFT,2023-10-04 00:00:00+00:00,318.955,320.04,314.0,314.03,20720144,317.1650273685,318.2439383581,312.2378347846,312.2676664248,20720144,0.0,1.0
MSFT,2023-10-05 00:00:00+00:00,319.36,319.98,314.9,319.09,16965629,317.5677545121,318.1842750776,313.1327839925,317.2992697497,16965629,0.0,1.0
MSFT,2023-10-06 00:00:00+00:00,327.26,329.19,316.3,316.55,25673630,325.4234197822,327.3425886393,314.524927205,314.7735242072,25673630,0.0,1.0
MSFT,2023-10-09 00:00:00+00:00,329.82,330.3,323.18,324.75,19891180,327.9690530849,328.4463593291,321.366316706,322.9275058799,19891180,0.0,1.0
MSFT,2023-10-10 00:00:00+00:00,328.39,331.1,327.67,330.96,20557094,326.5470782322,329.2418697362,325.8311188658,329.102655415,20557094,0.0,1.0
MSFT,2023-10-11 00:00:00+00:00,332.42,332.82,329.14,331.21,20063246,330.5544619079,330.9522171115,327.2928692388,329.3512524172,20063246,0.0,1.0
MSFT,2023-10-12 00:00:00+00:00,331.16,333.6299,328.72,330.565,19313098,329.3015330167,331.7575719598,326.8752262751,328.7098721515,19313098,0.0,1.0
