symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2023-06-30 00:00:00+00:00,261.77,264.45,259.89,260.6,112620784,261.77,264.45,259.89,260.6,112620784,0.0,1.0
TSLA,2023-07-03 00:00:00+00:00,279.82,284.25,275.11,276.49,119685891,279.82,284.25,275.11,276.49,119685891,0.0,1.0
TSLA,2023-07-05 00:00:00+00:00,282.48,283.85,277.6,278.82,131530862,282.48,283.85,277.6,278.82,131530862,0.0,1.0
TSLA,2023-07-06 00:00:00+00:00,276.54,279.97,272.88,278.09,120707419,276.54,279.97,272.88,278.09,120707419,0.0,1.0
TSLA,2023-07-07 00:00:00+00:00,274.43,280.78,273.77,278.43,113879174,274.43,280.78,273.77,278.43,113879174,0.0,1.0
TSLA,2023-07-10 00:00:00+00:00,269.61,277.52,265.1,276.47,119425405,269.61,277.52,265.1,276.47,119425405,0.0,1.0
TSLA,2023-07-11 00:00:00+00:00,269.79,270.9,266.37,268.65,91972358,269.79,270.9,266.37,268.65,91972358,0.0,1.0
TSLA,2023-07-12 00:00:00+00:00,271.99,276.52,271.46,276.325,95672139,271.99,276.52,271.46,276.325,95672139,0.0,1.0
TSLA,2023-07-13 00:00:00+00:00,277.9,279.45,270.6,274.59,112681458,277.9,279.45,270.6,274.59,112681458,0.0,1.0
TSLA,2023-07-14 00:00:00+00:00,281.38,285.3,276.31,277.01,120062369,281.38,285.3,276.31,277.01,120062369,0.0,1.0
TSLA,2023-07-17 00:00:00+00:00,290.38,292.23,283.57,286.625,131569593,290.38,292.23,283.57,286.625,131569593,0.0,1.0
TSLA,2023-07-18 00:00:00+00:00,293.34,295.26,286.01,290.15,112434713,293.34,295.26,286.01,290.15,112434713,0.0,1.0
TSLA,2023-07-19 00:00:00+00:00,291.26,299.29,289.5201,296.04,142355353,291.26,299.29,289.5201,296.04,142355353,0.0,1.0
TSLA,2023-07-20 00:00:00+00:00,262.9,280.93,261.2,279.56,175158273,262.9,280.93,261.2,279.56,175158273,0.0,1.0
TSLA,2023-07-21 00:00:00+00:00,260.02,268.0,255.8,268.0,161796073,260.02,268.0,255.8,268.0,161796073,0.0,1.0
TSLA,2023-07-24 00:00:00+00:00,269.06,269.85,254.12,255.85,137005037,269.06,269.85,254.12,255.85,137005037,0.0,1.0
TSLA,2023-07-25 00:00:00+00:00,265.28,272.9,265.0,272.38,112757327,265.28,272.9,265.0,272.38,112757327,0.0,1.0
TSLA,2023-07-26 00:00:00+00:00,264.35,268.04,261.75,263.25,95856177,264.35,268.04,261.75,263.25,95856177,0.0,1.0
TSLA,2023-07-27 00:00:00+00:00,255.71,269.13,255.3,268.31,103697263,255.71,269.13,255.3,268.31,103697263,0.0,1.0
TSLA,2023-07-28 00:00:00+00:00,266.44,267.25,258.2312,259.86,111446026,266.44,267.25,258.2312,259.86,111446026,0.0,1.0
TSLA,2023-07-31 00:00:00+00:00,267.43,269.08,263.78,267.48,84582172,267.43,269.08,263.78,267.48,84582172,0.0,1.0
TSLA,2023-08-01 00:00:00+00:00,261.07,266.47,260.25,266.26,83645720,261.07,266.47,260.25,266.26,83645720,0.0,1.0
TSLA,2023-08-02 00:00:00+00:00,254.11,259.52,250.49,255.57,101752865,254.11,259.52,250.49,255.57,101752865,0.0,1.0
TSLA,2023-08-03 00:00:00+00:00,259.32,260.49,252.0,252.04,97829545,259.32,260.49,252.0,252.04,97829545,0.0,1.0
TSLA,2023-08-04 00:00:00+00:00,253.86,264.77,253.11,260.97,99539907,253.86,264.77,253.11,260.97,99539907,0.0,1.0
TSLA,2023-08-07 00:00:00+00:00,251.45,253.6511,242.76,251.45,111097943,251.45,253.6511,242.76,251.45,111097943,0.0,1.0
TSLA,2023-08-08 00:00:00+00:00,249.7,250.92,245.01,247.45,96642183,249.7,250.92,245.01,247.45,96642183,0.0,1.0
TSLA,2023-08-09 00:00:00+00:00,242.19,251.1,241.9,250.87,101596324,242.19,251.1,241.9,250.87,101596324,0.0,1.0
TSLA,2023-08-10 00:00:00+00:00,245.34,251.8,243.0,245.4,109498608,245.34,251.8,243.0,245.4,109498608,0.0,1.0
TSLA,2023-08-11 00:00:00+00:00,242.65,243.79,238.02,241.77,99038642,242.65,243.79,238.02,241.77,99038642,0.0,1.0
TSLA,2023-08-14 00:00:00+00:00,239.76,240.66,233.75,235.7,98595331,239.76,240.66,233.75,235.7,98595331,0.0,1.0
TSLA,2023-08-15 00:00:00+00:00,232.96,240.5,232.61,238.73,88197599,232.96,240.5,232.61,238.73,88197599,0.0,1.0
TSLA,2023-08-16 00:00:00+00:00,225.6,233.97,225.38,228.02,112484520,225.6,233.97,225.38,228.02,112484520,0.0,1.0
TSLA,2023-08-17 00:00:00+00:00,219.22,226.74,218.83,226.06,120718417,219.22,226.74,218.83,226.06,120718417,0.0,1.0
TSLA,2023-08-18 00:00:00+00:00,215.49,217.58,212.36,214.12,136276584,215.49,217.58,212.36,214.12,136276584,0.0,1.0
TSLA,2023-08-21 00:00:00+00:00,231.28,232.1343,220.58,221.5512,135702671,231.28,232.1343,220.58,221.5512,135702671,0.0,1.0
TSLA,2023-08-22 00:00:00+00:00,233.19,240.82,229.55,240.25,130597886,233.19,240.82,229.55,240.25,130597886,0.0,1.0
TSLA,2023-08-23 00:00:00+00:00,236.86,238.98,229.29,229.34,101077635,236.86,238.98,229.29,229.34,101077635,0.0,1.0
TSLA,2023-08-24 00:00:00+00:00,230.04,238.92,228.1801,238.66,99777432,230.04,238.92,228.1801,238.66,99777432,0.0,1.0
TSLA,2023-08-25 00:00:00+00:00,238.59,239.0,230.35,231.31,106612231,238.59,239.0,230.35,231.31,106612231,0.0,1.0
TSLA,2023-08-28 00:00:00+00:00,238.82,244.38,235.35,242.58,107673727,238.82,244.38,235.35,242.58,107673727,0.0,1.0
TSLA,2023-08-29 00:00:00+00:00,257.18,257.48,237.77,238.58,134047603,257.18,257.48,237.77,238.58,134047603,0.0,1.0
TSLA,2023-08-30 00:00:00+00:00,256.9,260.51,250.59,254.2,121988437,256.9,260.51,250.59,254.2,121988437,0.0,1.0
TSLA,2023-08-31 00:00:00+00:00,258.08,261.18,255.05,255.98,108861698,258.08,261.18,255.05,255.98,108861698,0.0,1.0
TSLA,2023-09-01 00:00:00+00:00,245.01,259.0794,242.01,257.26,132541640,245.01,259.0794,242.01,257.26,132541640,0.0,1.0
TSLA,2023-09-05 00:00:00+00:00,256.49,258.0,244.86,245.0,129469565,256.49,258.0,244.86,245.0,129469565,0.0,1.0
TSLA,2023-09-06 00:00:00+00:00,251.92,255.39,245.06,255.135,116959759,251.92,255.39,245.06,255.135,116959759,0.0,1.0
TSLA,2023-09-07 00:00:00+00:00,251.49,252.81,243.265,245.07,115312886,251.49,252.81,243.265,245.07,115312886,0.0,1.0
