symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AMZN,2023-07-11 00:00:00+00:00,128.78,129.77,127.35,127.75,49951460,128.78,129.77,127.35,127.75,49951460,0.0,1.0
AMZN,2023-07-12 00:00:00+00:00,130.8,131.26,128.83,130.31,54022847,130.8,131.26,128.83,130.31,54022847,0.0,1.0
AMZN,2023-07-13 00:00:00+00:00,134.3,134.67,132.71,134.04,61170883,134.3,134.67,132.71,134.04,61170883,0.0,1.0
AMZN,2023-07-14 00:00:00+00:00,134.68,136.65,134.06,134.06,54487090,134.68,136.65,134.06,134.06,54487090,0.0,1.0
AMZN,2023-07-17 00:00:00+00:00,133.56,135.62,133.21,134.56,48450198,133.56,135.62,133.21,134.56,48450198,0.0,1.0
AMZN,2023-07-18 00:00:00+00:00,132.83,133.86,131.355,132.71,54969133,132.83,133.86,131.355,132.71,54969133,0.0,1.0
AMZN,2023-07-19 00:00:00+00:00,135.36,135.99,132.53,133.39,54531037,135.36,135.99,132.53,133.39,54531037,0.0,1.0
AMZN,2023-07-20 00:00:00+00:00,129.96,134.7915,129.33,134.07,59820579,129.96,134.7915,129.33,134.07,59820579,0.0,1.0
AMZN,2023-07-21 00:00:00+00:00,130.0,131.37,128.415,131.34,133307294,130.0,131.37,128.415,131.34,133307294,0.0,1.0
AMZN,2023-07-24 00:00:00+00:00,128.8,131.66,128.35,130.305,45671535,128.8,131.66,128.35,130.305,45671535,0.0,1.0
AMZN,2023-07-25 00:00:00+00:00,129.13,129.58,128.53,129.31,39236663,129.13,129.58,128.53,129.31,39236663,0.0,1.0
AMZN,2023-07-26 00:00:00+00:00,128.15,129.08,126.11,126.51,53910087,128.15,129.08,126.11,126.51,53910087,0.0,1.0
AMZN,2023-07-27 00:00:00+00:00,128.25,132.63,127.79,131.0,52610661,128.25,132.63,127.79,131.0,52610661,0.0,1.0
AMZN,2023-07-28 00:00:00+00:00,132.21,133.01,129.33,129.69,46317381,132.21,133.01,129.33,129.69,46317381,0.0,1.0
AMZN,2023-07-31 00:00:00+00:00,133.68,133.87,132.38,133.2,41901516,133.68,133.87,132.38,133.2,41901516,0.0,1.0
AMZN,2023-08-01 00:00:00+00:00,131.69,133.69,131.6199,133.55,42298925,131.69,133.69,131.6199,133.55,42298925,0.0,1.0
AMZN,2023-08-02 00:00:00+00:00,128.21,130.23,126.82,130.154,51027614,128.21,130.23,126.82,130.154,51027614,0.0,1.0
