close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
164.9,170.86,160.51,169.08,136439809,164.9,170.86,160.51,169.08,136439809,0.0,1.0
172.98,174.5,167.79,169.34,104039371,172.98,174.5,167.79,169.34,104039371,0.0,1.0
176.88,179.22,171.92,172.91,102327658,176.88,179.22,171.92,172.91,102327658,0.0,1.0
171.76,174.93,170.01,173.04,84532407,171.76,174.93,170.01,173.04,84532407,0.0,1.0
174.6,175.88,168.51,172.55,94515987,174.6,175.88,168.51,172.55,94515987,0.0,1.0
171.05,173.8099,170.3644,172.34,64722669,171.05,173.8099,170.3644,172.34,64722669,0.0,1.0
161.48,170.69,161.38,170.24,100245310,161.48,170.69,161.38,170.24,100245310,0.0,1.0
157.11,158.19,153.75,156.742,96999956,157.11,158.19,153.75,156.742,96999956,0.0,1.0
155.45,158.33,153.78,157.64,82439718,155.45,158.33,153.78,157.64,82439718,0.0,1.0
149.93,152.2,148.7,151.25,96098830,149.93,152.2,148.7,151.25,96098830,0.0,1.0
147.05,150.94,146.22,148.97,87074500,147.05,150.94,146.22,148.97,87074500,0.0,1.0
142.05,144.44,138.8025,140.56,107097564,142.05,144.44,138.8025,140.56,107097564,0.0,1.0
144.68,147.26,141.11,143.33,124545104,144.68,147.26,141.11,143.33,124545104,0.0,1.0
162.13,167.97,157.51,162.84,181178020,162.13,167.97,157.51,162.84,181178020,0.0,1.0
170.18,170.88,158.36,158.96,126427521,170.18,170.88,158.36,158.96,126427521,0.0,1.0
168.29,172.12,166.37,168.85,109815725,168.29,172.12,166.37,168.85,109815725,0.0,1.0
194.05,198.87,184.54,188.42,243869678,194.05,198.87,184.54,188.42,243869678,0.0,1.0
183.28,190.95,182.8401,186.98,127031787,183.28,190.95,182.8401,186.98,127031787,0.0,1.0
179.99,185.86,179.01,182.0,92829719,179.99,185.86,179.01,182.0,92829719,0.0,1.0
180.01,184.6,176.02,182.86,89148041,180.01,184.6,176.02,182.86,89148041,0.0,1.0
181.19,184.78,178.42,182.1,75491539,181.19,184.78,178.42,182.1,75491539,0.0,1.0
184.76,187.56,182.2,183.8,84390253,184.76,187.56,182.2,183.8,84390253,0.0,1.0
177.81,183.26,177.4,182.4,75045854,177.81,183.26,177.4,182.4,75045854,0.0,1.0
174.72,176.06,170.15,171.59,79969488,174.72,176.06,170.15,171.59,79969488,0.0,1.0
171.97,175.62,171.37,175.01,65950292,171.97,175.62,171.37,175.01,65950292,0.0,1.0
168.47,173.0599,167.75,173.05,72627178,168.47,173.0599,167.75,173.05,72627178,0.0,1.0
171.89,175.4,169.0,170.0,67018903,171.89,175.4,169.0,170.0,67018903,0.0,1.0
177.55,179.49,174.07,174.4959,86407422,177.55,179.49,174.07,174.4959,86407422,0.0,1.0
173.99,180.0,173.11,179.9,79662993,173.99,180.0,173.11,179.9,79662993,0.0,1.0
174.84,175.79,171.43,174.1,59812220,174.84,175.79,171.43,174.1,59812220,0.0,1.0
177.46,179.63,172.75,173.55,77445845,177.46,179.63,172.75,173.55,77445845,0.0,1.0
174.95,177.754,173.52,177.56,61727425,174.95,177.754,173.52,177.56,61727425,0.0,1.0
186.6,186.875,174.71,175.51,115266512,186.6,186.875,174.71,175.51,115266512,0.0,1.0
180.11,183.8,178.12,182.85,88313477,180.11,183.8,178.12,182.85,88313477,0.0,1.0
173.74,181.9,173.26,181.8,71975496,173.74,181.9,173.26,181.8,71975496,0.0,1.0
179.24,180.08,173.73,174.835,65584478,179.24,180.08,173.73,174.835,65584478,0.0,1.0
176.75,178.25,173.16,176.4,59736620,176.75,178.25,173.16,176.4,59736620,0.0,1.0
176.19,178.15,173.93,174.19,54782649,176.19,178.15,173.93,174.19,54782649,0.0,1.0
178.79,182.67,175.38,178.575,77784755,178.79,182.67,175.38,178.575,77784755,0.0,1.0
178.08,180.32,173.82,178.5,67314602,178.08,180.32,173.82,178.5,67314602,0.0,1.0
176.29,182.6389,174.49,178.13,68568920,176.29,182.6389,174.49,178.13,68568920,0.0,1.0
174.77,177.755,174.0,174.775,60056340,174.77,177.755,174.0,174.775,60056340,0.0,1.0
175.0,176.15,172.13,175.35,57953756,175.0,176.15,172.13,175.35,57953756,0.0,1.0
177.94,179.73,172.73,174.6,69887024,177.94,179.73,172.73,174.6,69887024,0.0,1.0
177.48,179.35,175.58,176.13,56244932,177.48,179.35,175.58,176.13,56244932,0.0,1.0
173.79,178.57,173.17,176.06,50869682,173.79,178.57,173.17,176.06,50869682,0.0,1.0
170.66,174.75,167.41,173.92,64761928,170.66,174.75,167.41,173.92,64761928,0.0,1.0
177.29,180.55,169.8,171.12,90389446,177.29,180.55,169.8,171.12,90389446,0.0,1.0
182.47,191.08,181.23,188.39,118984122,182.47,191.08,181.23,188.39,118984122,0.0,1.0
178.01,186.0,176.92,185.8,82038194,178.01,186.0,176.92,185.8,82038194,0.0,1.0
187.44,188.81,177.0,177.92,109786083,187.44,188.81,177.0,177.92,109786083,0.0,1.0
184.86,187.2,182.37,186.56,68982265,184.86,187.2,182.37,186.56,68982265,0.0,1.0
181.57,185.21,179.66,184.68,55893139,181.57,185.21,179.66,184.68,55893139,0.0,1.0
183.01,183.95,180.69,182.3,63029482,183.01,183.95,180.69,182.3,63029482,0.0,1.0
182.58,188.8,182.55,184.97,61992070,182.58,188.8,182.55,184.97,61992070,0.0,1.0
187.35,187.97,182.01,184.4,63678265,187.35,187.97,182.01,184.4,63678265,0.0,1.0
196.37,197.755,186.36,186.54,95737066,196.37,197.755,186.36,186.54,95737066,0.0,1.0
197.42,198.72,194.05,195.17,72746521,197.42,198.72,194.05,195.17,72746521,0.0,1.0
197.88,203.2,195.26,199.55,95438068,197.88,203.2,195.26,199.55,95438068,0.0,1.0
209.86,213.23,200.85,201.02,135691395,209.86,213.23,200.85,201.02,135691395,0.0,1.0
231.26,231.3,218.06,218.89,205047920,231.26,231.3,218.06,218.89,205047920,0.0,1.0
